Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Guardian (Sponsor),Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
66,62,11,9,21,D,21,Female,Married,0,Master's Degree,Master's Degree,Mother,No,4,Poor,Sports,High,4,Yes
68,63,13,18,17,D,18,Male,Engaged,0,High School,Doctorate,Mother,Yes,8,Average,Reading,Moderate,1,No
92,76,9,13,49,A,25,Male,Single,0,College,High School,Father,No,7,Good,Sports,Low,3,No
98,94,15,24,34,A,25,Female,Engaged,0,College,Bachelor's Degree,Brother,Yes,8,Poor,Watching TV,High,7,No
79,96,11,22,42,A,19,Female,Engaged,0,Master's Degree,Master's Degree,Uncle,No,5,Good,Sports,Low,1,No
81,79,10,16,33,C,18,Female,Single,0,College,Doctorate,Sister,No,8,Average,Sports,Moderate,0,Yes
96,93,18,18,46,A,22,Male,Engaged,0,Doctorate,Doctorate,Aunty,No,0,Average,Sports,Moderate,3,Yes
64,63,14,21,14,D,23,Male,Married,1,Master's Degree,High School,Sister,Yes,6,Good,Sports,Moderate,5,No
98,89,19,19,12,C,21,Male,Married,0,Master's Degree,Doctorate,Father,No,4,Average,Sports,Moderate,7,No
72,71,10,20,8,E,19,Female,Single,0,Master's Degree,Bachelor's Degree,Father,Yes,9,Average,Reading,Moderate,2,Yes
76,75,10,10,30,C,19,Female,Single,0,High School,Bachelor's Degree,Uncle,No,1,Poor,Socializing,High,6,No
87,79,21,12,31,B,23,Male,Married,0,Master's Degree,Bachelor's Degree,Mother,Yes,0,Good,Socializing,High,3,Yes
79,76,22,9,48,A,25,Female,Single,0,Doctorate,High School,Sister,Yes,9,Poor,Sports,Moderate,6,Yes
93,84,20,20,12,C,21,Female,Single,0,High School,Doctorate,Aunty,No,7,Average,Socializing,Low,6,Yes
93,78,16,21,23,B,23,Male,Married,1,Doctorate,Doctorate,Brother,Yes,4,Good,Socializing,High,4,No
98,82,15,8,39,B,21,Male,Engaged,0,Doctorate,Master's Degree,Uncle,Yes,6,Good,Socializing,Low,3,Yes
87,96,22,21,14,C,22,Female,Engaged,0,College,College,Uncle,Yes,5,Poor,Sports,Low,2,No
96,94,23,22,37,A,22,Male,Engaged,0,Bachelor's Degree,College,Aunty,No,9,Poor,Socializing,Moderate,3,No
92,82,17,21,44,A,25,Female,Engaged,0,College,High School,Aunty,No,0,Poor,Sports,High,0,Yes
98,93,10,20,24,C,18,Male,Engaged,0,Master's Degree,High School,Sister,Yes,0,Poor,Watching TV,High,6,Yes
90,78,25,23,34,A,19,Female,Married,5,College,Master's Degree,Mother,No,4,Poor,Socializing,Low,3,No
98,90,22,10,38,A,25,Female,Married,2,High School,Master's Degree,Brother,Yes,0,Average,Reading,High,5,No
95,94,21,19,37,A,21,Male,Engaged,0,Master's Degree,Bachelor's Degree,Aunty,Yes,9,Poor,Socializing,Moderate,3,Yes
86,88,22,9,42,A,22,Male,Married,3,Doctorate,Master's Degree,Brother,No,6,Average,Watching TV,Low,6,Yes
97,96,19,12,25,C,20,Female,Single,0,High School,College,Aunty,Yes,8,Good,Sports,Low,6,Yes
82,94,22,23,16,B,20,Male,Single,0,Bachelor's Degree,College,Sister,Yes,9,Poor,Sports,Moderate,6,Yes
91,95,15,19,23,C,18,Male,Married,5,Master's Degree,College,Uncle,No,9,Poor,Watching TV,Low,7,No
78,78,12,21,19,C,23,Male,Married,1,Bachelor's Degree,High School,Sister,Yes,9,Good,Socializing,High,5,No
63,71,13,8,25,D,23,Female,Engaged,0,Bachelor's Degree,Master's Degree,Sister,Yes,5,Good,Sports,Moderate,3,No
71,62,10,18,8,E,18,Male,Single,0,College,High School,Uncle,No,0,Good,Socializing,Moderate,4,Yes
94,83,11,9,46,B,24,Female,Engaged,0,Bachelor's Degree,Master's Degree,Aunty,Yes,3,Average,Reading,High,1,Yes
70,70,13,10,12,E,22,Male,Married,5,High School,Doctorate,Father,No,5,Poor,Watching TV,High,7,No
88,90,20,16,31,B,25,Female,Engaged,0,High School,Bachelor's Degree,Uncle,Yes,6,Good,Reading,Moderate,2,Yes
79,92,19,18,37,A,21,Female,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,No,2,Poor,Sports,Low,3,No
75,82,13,24,35,A,23,Female,Single,0,Doctorate,High School,Uncle,Yes,6,Poor,Sports,High,0,No
84,78,24,24,46,A,25,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Mother,Yes,6,Good,Watching TV,Low,5,Yes
82,96,16,21,50,A,20,Male,Engaged,0,Master's Degree,Bachelor's Degree,Sister,Yes,0,Good,Watching TV,High,3,Yes
83,92,16,17,40,A,20,Male,Married,1,Bachelor's Degree,Bachelor's Degree,Uncle,No,2,Average,Watching TV,Low,4,No
62,69,10,9,12,E,24,Female,Single,0,College,Master's Degree,Brother,Yes,4,Average,Reading,High,4,No
75,92,14,25,13,C,23,Male,Married,0,Doctorate,Doctorate,Brother,No,0,Poor,Reading,Moderate,4,Yes
87,76,8,22,21,C,20,Female,Married,0,High School,Bachelor's Degree,Sister,Yes,8,Poor,Watching TV,Low,1,Yes
86,86,19,17,40,A,19,Male,Engaged,0,Bachelor's Degree,High School,Aunty,No,6,Poor,Reading,High,7,No
80,97,16,19,22,C,18,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Brother,No,3,Good,Watching TV,Low,0,Yes
65,74,25,9,13,D,23,Male,Married,2,High School,College,Father,No,4,Average,Reading,Low,2,No
80,82,14,16,29,C,21,Male,Single,0,Doctorate,College,Father,No,0,Good,Socializing,High,4,Yes
89,95,11,18,23,C,22,Female,Single,0,Doctorate,College,Aunty,No,8,Poor,Watching TV,Low,6,Yes
80,77,15,25,27,B,23,Male,Married,0,Master's Degree,College,Uncle,No,3,Good,Reading,Low,3,Yes
94,80,16,10,31,C,20,Female,Married,4,Doctorate,Bachelor's Degree,Father,No,3,Good,Sports,Moderate,6,No
85,92,11,16,41,B,23,Female,Engaged,0,High School,Bachelor's Degree,Father,Yes,4,Good,Reading,Moderate,0,No
62,70,16,11,22,D,22,Male,Married,5,High School,Bachelor's Degree,Father,No,4,Poor,Socializing,Low,7,No
97,78,9,13,50,A,24,Male,Single,0,Bachelor's Degree,Master's Degree,Father,No,2,Good,Socializing,Moderate,7,Yes
84,88,23,10,37,A,21,Female,Single,0,Doctorate,High School,Father,No,1,Poor,Socializing,Moderate,5,No
86,86,19,8,26,C,21,Female,Single,0,Master's Degree,Bachelor's Degree,Father,Yes,3,Good,Sports,Moderate,3,Yes
75,86,8,23,19,C,19,Male,Engaged,0,High School,College,Father,Yes,4,Good,Sports,Low,3,No
79,85,11,8,44,B,21,Male,Engaged,0,College,College,Sister,No,3,Good,Reading,Moderate,7,No
84,95,11,23,36,A,22,Male,Engaged,0,College,Master's Degree,Sister,Yes,5,Poor,Socializing,Moderate,6,No
74,66,12,10,14,E,19,Male,Single,0,Master's Degree,College,Aunty,No,0,Poor,Socializing,Moderate,4,Yes
83,77,23,9,25,C,25,Male,Single,0,High School,High School,Brother,No,8,Average,Reading,Low,7,Yes
97,77,25,19,9,C,19,Male,Engaged,0,High School,Bachelor's Degree,Uncle,Yes,9,Good,Watching TV,Low,6,Yes
97,78,19,16,17,C,18,Female,Married,2,High School,Doctorate,Uncle,Yes,8,Good,Reading,High,6,Yes
81,99,9,22,41,A,19,Female,Single,0,High School,Master's Degree,Mother,Yes,6,Poor,Reading,High,2,No
75,88,15,13,36,B,19,Female,Engaged,0,College,High School,Father,Yes,4,Poor,Watching TV,Low,0,Yes
91,86,22,19,22,B,22,Female,Single,0,High School,Master's Degree,Mother,Yes,6,Average,Sports,High,2,No
94,87,13,12,26,C,21,Female,Single,0,High School,College,Sister,No,2,Good,Sports,Moderate,0,Yes
73,69,16,8,9,E,25,Male,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,No,7,Good,Socializing,Low,7,No
75,95,21,17,33,A,22,Female,Married,5,High School,Doctorate,Uncle,No,0,Poor,Reading,Moderate,5,Yes
77,79,25,13,23,B,19,Male,Single,0,Master's Degree,College,Father,Yes,4,Good,Socializing,Low,4,No
98,96,19,25,29,A,22,Male,Engaged,0,High School,Master's Degree,Sister,Yes,9,Poor,Reading,Moderate,2,Yes
88,79,23,21,17,B,23,Female,Single,0,Doctorate,Master's Degree,Sister,No,5,Good,Socializing,Low,0,No
87,93,13,8,33,C,18,Female,Engaged,0,Doctorate,Master's Degree,Sister,Yes,6,Good,Watching TV,High,4,No
23,27,8,11,9,F,20,Female,Single,0,Bachelor's Degree,College,Sister,Yes,8,Poor,Sports,Moderate,3,No
91,80,23,25,46,A,22,Female,Single,0,College,Doctorate,Father,No,2,Average,Socializing,Moderate,4,Yes
22,38,10,9,8,F,22,Male,Engaged,0,High School,Master's Degree,Uncle,No,0,Poor,Watching TV,Low,5,No
66,73,11,10,13,E,25,Female,Single,0,Doctorate,Doctorate,Uncle,Yes,2,Good,Sports,Moderate,0,No
99,90,15,16,27,C,21,Male,Single,0,College,Bachelor's Degree,Sister,Yes,6,Poor,Reading,Low,3,Yes
97,97,12,24,35,A,19,Female,Engaged,0,Bachelor's Degree,High School,Mother,Yes,2,Average,Socializing,Low,1,No
94,78,14,14,40,B,18,Male,Engaged,0,College,Doctorate,Aunty,Yes,1,Average,Reading,Low,0,Yes
63,63,9,15,10,E,20,Female,Single,0,Master's Degree,Bachelor's Degree,Sister,No,5,Poor,Sports,Low,4,Yes
92,93,24,14,14,C,25,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,8,Poor,Sports,High,7,Yes
85,77,24,22,42,A,23,Female,Single,0,Doctorate,High School,Uncle,No,6,Average,Sports,Low,3,No
95,77,16,22,14,C,21,Male,Married,0,Master's Degree,Doctorate,Brother,Yes,7,Good,Socializing,High,3,Yes
61,72,18,16,10,D,22,Female,Married,0,Doctorate,High School,Brother,Yes,8,Average,Socializing,High,7,Yes
79,96,17,10,25,C,21,Male,Married,0,Master's Degree,Doctorate,Sister,No,3,Average,Watching TV,High,0,Yes
85,87,9,22,37,B,25,Male,Engaged,0,High School,Master's Degree,Uncle,No,7,Good,Watching TV,Moderate,4,No
78,81,19,25,32,A,18,Male,Married,1,Doctorate,Doctorate,Mother,No,6,Average,Sports,Moderate,7,Yes
99,75,19,19,33,A,21,Female,Married,2,Bachelor's Degree,College,Father,Yes,7,Good,Watching TV,Moderate,5,No
64,66,13,23,8,D,22,Female,Married,0,Bachelor's Degree,College,Aunty,Yes,9,Good,Watching TV,Moderate,4,No
92,86,9,25,28,B,20,Male,Engaged,0,High School,Bachelor's Degree,Sister,No,6,Poor,Watching TV,High,1,No
75,91,17,23,17,C,18,Male,Married,0,Master's Degree,Master's Degree,Father,No,9,Good,Socializing,High,1,Yes
85,86,9,9,45,B,23,Male,Single,0,Bachelor's Degree,High School,Brother,Yes,0,Average,Watching TV,High,5,No
80,79,22,17,48,A,18,Female,Married,4,College,College,Uncle,No,9,Poor,Socializing,High,2,No
66,75,10,10,15,E,25,Male,Married,1,High School,Doctorate,Aunty,No,9,Good,Sports,Moderate,2,Yes
95,82,15,18,27,B,22,Female,Married,2,Master's Degree,High School,Aunty,No,9,Good,Reading,Low,3,No
90,78,18,8,45,A,18,Female,Married,1,Master's Degree,Bachelor's Degree,Aunty,No,7,Good,Sports,Low,4,Yes
80,91,18,8,36,B,23,Male,Engaged,0,Master's Degree,High School,Sister,No,0,Good,Sports,High,5,Yes
89,88,16,9,40,B,20,Male,Married,0,High School,Doctorate,Father,Yes,5,Average,Reading,Low,7,No
76,85,18,9,42,B,23,Female,Single,0,Master's Degree,High School,Uncle,Yes,7,Average,Reading,Low,3,No
90,99,9,12,48,B,22,Female,Single,0,Master's Degree,College,Uncle,Yes,9,Good,Sports,Low,1,No
98,89,12,19,30,B,23,Female,Single,0,Doctorate,High School,Uncle,Yes,9,Average,Watching TV,High,4,Yes
91,92,21,13,41,A,24,Male,Married,5,Bachelor's Degree,College,Brother,No,6,Poor,Reading,High,0,Yes
96,86,18,25,28,A,23,Male,Married,3,High School,Bachelor's Degree,Aunty,No,1,Poor,Reading,High,6,No
66,62,19,14,9,D,23,Female,Single,0,College,High School,Brother,Yes,3,Poor,Watching TV,Moderate,3,No
89,94,19,8,25,C,18,Male,Single,0,Master's Degree,Doctorate,Brother,No,5,Good,Reading,High,0,Yes
60,60,13,20,15,D,25,Female,Single,0,Master's Degree,High School,Mother,Yes,4,Poor,Socializing,High,1,No
99,80,21,23,37,A,22,Male,Single,0,High School,High School,Mother,Yes,1,Average,Watching TV,Moderate,1,No
96,95,18,23,17,C,18,Female,Single,0,Master's Degree,Doctorate,Father,No,9,Good,Reading,Moderate,2,Yes
85,99,25,23,42,A,24,Female,Single,0,College,Bachelor's Degree,Sister,No,5,Good,Watching TV,Moderate,3,Yes
78,96,20,13,26,C,18,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Brother,No,4,Poor,Sports,Low,0,No
98,83,25,22,14,B,25,Female,Single,0,Master's Degree,Bachelor's Degree,Uncle,No,9,Poor,Reading,Low,6,Yes
91,93,12,11,30,C,19,Male,Single,0,College,Doctorate,Sister,Yes,9,Poor,Socializing,Moderate,0,Yes
77,92,17,25,18,B,25,Male,Married,1,College,Master's Degree,Father,No,2,Good,Reading,Moderate,1,No
79,92,21,9,23,C,19,Female,Single,0,High School,High School,Brother,Yes,0,Good,Socializing,Low,1,Yes
78,87,25,19,20,B,24,Female,Married,2,Bachelor's Degree,College,Uncle,Yes,4,Poor,Socializing,Low,0,Yes
91,98,9,20,26,C,20,Female,Engaged,0,Bachelor's Degree,Doctorate,Father,Yes,2,Average,Socializing,High,2,No
88,93,16,25,19,B,24,Female,Engaged,0,Bachelor's Degree,Doctorate,Brother,No,0,Average,Watching TV,Moderate,6,Yes
82,90,19,21,31,A,22,Female,Engaged,0,Doctorate,Bachelor's Degree,Uncle,Yes,5,Good,Reading,High,0,No
76,81,20,17,30,B,19,Male,Married,5,Master's Degree,College,Mother,No,9,Average,Sports,Moderate,2,Yes
96,84,17,10,40,B,21,Male,Married,0,Master's Degree,Master's Degree,Sister,Yes,5,Average,Sports,Low,6,Yes
79,75,19,20,36,A,19,Male,Married,0,High School,College,Father,No,5,Average,Socializing,Low,6,No
86,82,25,12,20,C,22,Female,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,No,6,Good,Reading,High,3,No
71,68,17,14,12,D,25,Female,Engaged,0,Doctorate,College,Aunty,No,6,Poor,Sports,Low,3,Yes
75,69,13,8,20,D,25,Male,Married,2,Doctorate,High School,Aunty,No,5,Poor,Watching TV,Moderate,5,Yes
84,82,24,17,22,B,25,Female,Engaged,0,High School,High School,Sister,No,4,Good,Watching TV,Moderate,7,No
92,82,19,22,28,B,23,Female,Engaged,0,Doctorate,High School,Father,Yes,1,Average,Watching TV,Low,7,Yes
78,77,22,15,31,B,23,Male,Married,2,Master's Degree,College,Father,No,6,Good,Reading,Low,0,No
63,61,23,9,11,D,25,Female,Engaged,0,College,College,Uncle,No,2,Poor,Socializing,Low,4,Yes
78,77,25,20,25,A,25,Male,Single,0,Doctorate,Doctorate,Uncle,Yes,7,Average,Socializing,Low,2,No
63,75,11,12,14,E,24,Female,Single,0,High School,College,Mother,Yes,4,Poor,Sports,Moderate,4,No
88,82,8,12,42,B,18,Female,Engaged,0,High School,Doctorate,Sister,Yes,8,Average,Sports,High,0,Yes
64,67,15,9,9,E,23,Male,Engaged,0,Master's Degree,College,Mother,No,5,Good,Watching TV,Moderate,4,No
98,96,13,11,27,C,19,Male,Married,3,College,High School,Father,No,3,Average,Socializing,Low,4,No
97,85,15,16,46,A,20,Female,Married,2,Doctorate,College,Aunty,Yes,1,Good,Sports,High,0,No
84,83,9,11,36,C,18,Male,Engaged,0,High School,Doctorate,Aunty,No,9,Average,Sports,Moderate,7,No
91,77,25,15,43,A,24,Male,Single,0,Master's Degree,Master's Degree,Sister,No,7,Good,Watching TV,High,5,No
99,87,24,22,17,B,23,Male,Single,0,Master's Degree,Bachelor's Degree,Uncle,Yes,0,Poor,Reading,High,7,No
77,76,20,20,27,B,25,Female,Engaged,0,High School,Bachelor's Degree,Brother,Yes,8,Good,Reading,High,4,No
79,79,10,17,47,A,23,Male,Married,2,Doctorate,High School,Father,No,0,Average,Reading,Moderate,6,Yes
61,74,19,9,19,D,25,Female,Single,0,Master's Degree,Master's Degree,Uncle,No,9,Average,Reading,Moderate,3,No
87,89,12,19,22,C,24,Male,Engaged,0,Doctorate,Master's Degree,Sister,Yes,6,Good,Reading,Moderate,2,Yes
93,89,12,18,31,B,22,Male,Engaged,0,High School,Bachelor's Degree,Aunty,No,2,Average,Reading,Low,1,No
98,89,9,12,41,B,20,Male,Married,4,Bachelor's Degree,College,Brother,Yes,3,Good,Socializing,Low,7,Yes
95,97,23,15,16,C,19,Male,Engaged,0,Master's Degree,Doctorate,Uncle,Yes,4,Average,Reading,Low,0,Yes
91,80,24,24,31,A,23,Male,Single,0,Bachelor's Degree,College,Uncle,No,6,Average,Reading,Moderate,2,No
78,90,20,23,43,A,22,Female,Married,1,Doctorate,Doctorate,Father,No,1,Average,Socializing,Moderate,1,Yes
78,83,25,14,41,A,24,Male,Engaged,0,Bachelor's Degree,Doctorate,Uncle,No,8,Average,Reading,Low,6,No
79,93,24,10,22,C,21,Male,Married,4,Doctorate,Bachelor's Degree,Mother,Yes,5,Good,Reading,High,1,Yes
81,99,17,25,25,B,23,Male,Married,5,Bachelor's Degree,Master's Degree,Aunty,No,3,Poor,Reading,High,2,Yes
76,99,21,8,37,B,24,Male,Single,0,Doctorate,High School,Sister,No,1,Good,Sports,Moderate,0,Yes
94,84,12,14,24,C,20,Male,Married,1,Doctorate,Doctorate,Mother,No,8,Average,Reading,Low,3,No
70,62,20,9,13,D,23,Female,Engaged,0,Doctorate,College,Uncle,Yes,3,Average,Sports,High,3,No
79,95,24,17,26,B,21,Male,Engaged,0,High School,College,Uncle,No,1,Average,Watching TV,Moderate,2,No
80,96,15,14,50,A,18,Male,Married,3,Bachelor's Degree,Doctorate,Mother,Yes,2,Average,Watching TV,Low,6,No
65,67,8,19,16,D,25,Female,Married,0,Master's Degree,Master's Degree,Uncle,Yes,0,Poor,Watching TV,Low,0,No
67,65,23,9,12,D,19,Female,Married,4,Bachelor's Degree,High School,Sister,No,8,Average,Socializing,Low,1,Yes
92,84,17,14,36,B,23,Female,Engaged,0,College,College,Mother,Yes,8,Average,Watching TV,Moderate,6,Yes
78,86,10,19,42,A,25,Male,Married,2,Bachelor's Degree,Master's Degree,Uncle,No,2,Poor,Watching TV,High,6,Yes
99,79,17,23,33,A,25,Female,Single,0,College,High School,Sister,Yes,5,Poor,Socializing,Moderate,2,No
95,77,21,14,15,C,25,Female,Single,0,Doctorate,High School,Brother,No,7,Average,Reading,High,1,No
78,91,11,15,47,A,20,Male,Engaged,0,College,College,Father,Yes,6,Good,Socializing,Moderate,1,Yes
80,89,22,15,29,B,25,Male,Engaged,0,College,Bachelor's Degree,Aunty,Yes,6,Average,Watching TV,High,3,Yes
87,99,19,13,31,B,25,Male,Single,0,Master's Degree,Bachelor's Degree,Mother,No,8,Good,Reading,Low,0,No
72,73,11,18,19,D,24,Female,Engaged,0,Master's Degree,Doctorate,Mother,Yes,5,Poor,Watching TV,Low,3,No
76,91,24,9,26,C,25,Female,Engaged,0,Doctorate,College,Sister,Yes,7,Poor,Sports,Low,0,Yes
76,95,9,22,38,B,25,Female,Single,0,High School,Bachelor's Degree,Uncle,No,2,Good,Watching TV,High,3,No
67,71,8,17,12,E,19,Male,Married,2,High School,Bachelor's Degree,Uncle,Yes,6,Good,Socializing,High,5,Yes
87,96,23,16,45,A,20,Female,Married,3,Bachelor's Degree,College,Aunty,Yes,0,Good,Reading,Low,4,Yes
98,92,24,11,49,A,21,Male,Single,0,High School,College,Father,Yes,7,Good,Sports,High,2,No
63,60,10,14,20,D,22,Male,Single,0,High School,College,Aunty,Yes,1,Poor,Reading,Low,1,No
78,95,10,21,29,B,22,Male,Single,0,Doctorate,High School,Father,No,0,Good,Watching TV,High,6,Yes
84,90,12,19,35,B,22,Male,Married,4,College,Master's Degree,Brother,No,6,Good,Reading,Moderate,1,Yes
87,84,18,12,42,A,25,Female,Single,0,Bachelor's Degree,College,Father,No,6,Good,Watching TV,Low,5,No
95,89,8,20,38,B,23,Female,Engaged,0,High School,Bachelor's Degree,Brother,No,5,Poor,Watching TV,Low,4,No
80,91,13,25,32,A,18,Male,Married,5,High School,College,Uncle,No,6,Good,Sports,High,5,Yes
93,97,23,14,32,B,22,Male,Single,0,Doctorate,Doctorate,Sister,Yes,6,Average,Watching TV,Moderate,6,Yes
95,84,13,18,25,C,20,Female,Single,0,High School,Doctorate,Uncle,No,4,Good,Reading,Moderate,5,Yes
71,64,10,15,23,D,22,Female,Married,5,Bachelor's Degree,High School,Sister,Yes,3,Good,Reading,Low,6,No
78,89,20,20,11,C,21,Male,Engaged,0,Doctorate,High School,Father,No,9,Poor,Reading,High,3,Yes
87,86,13,8,40,B,25,Male,Single,0,Doctorate,Doctorate,Uncle,Yes,9,Poor,Socializing,High,1,No
76,94,19,8,36,B,22,Male,Engaged,0,College,Master's Degree,Uncle,No,0,Average,Sports,High,7,Yes
69,69,11,21,8,D,23,Male,Engaged,0,Bachelor's Degree,High School,Father,No,7,Good,Watching TV,High,7,Yes
92,76,10,19,33,B,22,Male,Married,2,High School,High School,Uncle,No,9,Good,Watching TV,High,3,No
60,68,8,17,16,D,18,Male,Engaged,0,High School,Bachelor's Degree,Father,Yes,6,Good,Sports,High,1,Yes
67,66,17,17,11,D,25,Male,Married,3,Doctorate,Bachelor's Degree,Mother,No,8,Average,Watching TV,Low,1,No
95,82,14,12,40,B,24,Female,Married,4,Bachelor's Degree,High School,Mother,Yes,9,Average,Sports,Low,7,No
76,85,24,16,16,C,23,Female,Married,4,Master's Degree,College,Sister,Yes,2,Average,Sports,Low,6,Yes
87,76,20,20,50,A,21,Female,Engaged,0,High School,Master's Degree,Uncle,No,3,Poor,Watching TV,Moderate,7,No
96,90,9,20,50,A,19,Female,Engaged,0,College,College,Sister,Yes,0,Average,Watching TV,Low,4,Yes
84,78,19,17,49,A,18,Male,Married,0,Doctorate,High School,Sister,No,4,Average,Socializing,High,3,Yes
